key,value,definition
road_marking,yes,road_marking=yes
room,yes,room=yes
sailing:tours,yes,sailing:tours=yes
school:selective,no,school:selective=no
school:selective,yes,school:selective=yes
seamark:fog_signal,yes,seamark:fog_signal=yes
seamark:radar_reflector,no,seamark:radar_reflector=no
seamark:radar_reflector,yes,seamark:radar_reflector=yes
shop,no,shop=no
signal_station,yes,signal_station=yes
street_vendor,yes,street_vendor=yes
submarine,yes,submarine=yes
substation,yes,substation=yes
summit:cross,yes,summit:cross=yes
survey_point:datum_aligned,no,survey_point:datum_aligned=no
survey_point:datum_aligned,yes,survey_point:datum_aligned=yes
swimming_pool,yes,swimming_pool=yes
switch,yes,switch=yes
tickets:public_transport_subscription,yes,tickets:public_transport_subscription=yes
toilets:access,yes,toilets:access=yes
toll:designated,yes,toll:designated=yes
toll:N3,yes,toll:N3=yes
tourism,yes,tourism=yes
train,no,train=no
transformer,yes,transformer=yes
trees,yes,trees=yes
triangulation_point,yes,triangulation_point=yes
unsigned,yes,unsigned=yes
water,yes,water=yes
waterway,yes,waterway=yes
wheelchair,no,wheelchair=no
wheelchair,yes,wheelchair=yes
wholesale,no,wholesale=no
wholesale,yes,wholesale=yes
windings:auto,yes,windings:auto=yes
winter_road,yes,winter_road=yes
